@relation train

@attribute Text string
@attribute Class {"pos", "neg"}

@data
"از ساير نظر خوب است انشالله که برق قطع نشود و يا آدم خوش شانسي باشيد.","pos"
"در مجموع نسبت به قيمت خوب است.","pos"
"به نظرم نمي ارزه","neg"
"قيمت بالاي اين گوشي بخاطر صفحه نمايش فوق العاده اين گوشيه،  ميشه پشت گوشي رو از داخل صفحه نمايش ديد!","pos"
"ولي بايد به اين نکته هم توجه کرد که براي افرادي که توانايي کنار آمدن با سيستم عامل هاي ديگر و به طور کلي با اسمارت فون ها را ندارند و در عين حال ميخواهند يک گوشي خاص داشته باشند بسيار عالي ميباشد .","pos"
"البته اگر اين گوشي قيمت به مراتب پايين تري داشت حتما به عنوان گوشي دوم  آن را خريداري ميکردم به اين دليل که 1 وزن آن بسيار کم است 2 حافظه داخلي قابل قبولي دارد                                                                                                                                                                   ","pos"
"گوشي بسيار زيبا و مدگرا ميباشد","pos"
"ZS6 از هر نظر یک کامپکت کاملا معمولی است.","neg"
"کاملا کوچک است و به راحتی در کف دست جای می گیرد.","pos"
"در قلب این دوربین یک سنسور تصویر 16 مگاپیکسلی CCD قرار گرفته که رزولوشن خیلی بالایی را ارائه می دهد و در شرایط نوری مناسب می توانید عکس های با کیفیتی را با آن تهیه کنید.","pos"
"بعلاوه فیلم برداری 720p HD نیز با آن مقدور می باشد که خیلی خوب است.","pos"
"لنز ZS6 خیلی لنز خوبی است به طوری که کمینه ی فاصله ی کانونی آن 26 میلی متر می باشد که در این حال میدان دید خیلی گسترده ای را می تواند در یک میدان دید پوشش دهد.","pos"
"توانایی زوم 5 برابر هم برای آن خیلی مناسب است ولی از همه بهتر کمینه ی نسبت کانونی f/2.8 آن است که باعث می شود عملکرد این دوربین در شرایط نوری ضعیف خیلی بهبود یابد.","pos"
"در قسمت پشت این دوربین نیز نمایشگر 2.7 اینچی 230000 پیکسلی قرار گرفته که نسبت به این دوربین امکانات و کیفیت خیلی خوبی را ارائه می دهد.","pos"
"عکاسی با این دوربین کار بسیار ساده ایست،  کافیست که آن را بر روی مود اتوماتیک قرار دهید،  سپس به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا بهترین و با کیفیت ترین عکس ها بدست آید.","pos"
"به هر صورت همانطور که گفتیم،  ZS6 دوربین نسبتا ارزان قیمت خیلی خوبیست که امکانات خوب را در برابر قیمت مناسب ارائه می کند.","pos"
"همانند F770،  این دوربین هم طراحی بسیار شکیل و زیبایی دارد که هم از نظر زیبایی شناختی و هم ارگونومی از مدل‌های پیشین بهتر است.","pos"
"در قسمت سمت راست آن دستگیره‌ی نصفه و نیمه ای ساخته شده که باعث می‌شود در دست گرفتن دوربین خیلی فراتر از حد انتظار آسان شود.","pos"
"بدنه از ماده ای لاستیک اندود شده ساخته شده که در هنگام لمس احساس خیلی خوبی را منتقل می‌کند.","pos"
"به خصوص اینکه باعث می‌شود که احتمال لیز خوردن دوربین در دست کمتر گردد و اثری از لکه و اثر انگشت هم بر روی آن باقی نماند.","pos"
"چینش دکمه‌ها و کنترل‌های دوربین واقعا عالیست.","pos"
"وقتی دوربین را با یک دست نگه داشته‌اید،  انگشت شست دست راست شما به راحتی می‌تواند به بیشتر کنترل‌های مهم دسترسی پیدا کند.","pos"
"پیچ تنظیم شوتینگ مودها هم مثل مدل‌های پیشین رو به عقب ساخته شده ولی طراحی آن خیلی تمیز تر می‌باشد و احساس نمی‌کنیم که گویی آن قسمت از دوربین بر اثر گرما ذوب شده باشد.","pos"
"ولی این بزرگ‌تر بودن باعث نشده که در دست گیری آن سخت شود.","pos"
"مودهای عکاسی که از طریق پیچ تنظیم می‌توانند انتخاب شوند واقعا متنوع هستند.","pos"
"به خصوص اینکه مجهز به مودهای عکاسی حرفه ای تر P,A,S,M هم می‌باشد.","pos"
"ولی برخلاف F770 نمی‌توان در فرمت حرفه ای تر و خام RAW با آن عکاسی کرد.","neg"
"با گذاشتن دوربین بر روی این مود،  کافیست که برای گرفتن عکس آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا دوربین خود نوع صحنه،  شرایط نوری و دیگر موارد را بسنجد و تنظیمات را بر روی بهترین حالت قرار دهد تا با کیفیت‌ترین عکس بدست آید.","pos"
"مود Adv (Advanced) قابلیت‌های خیلی خوبی مثل اینکه چند عکس در کنار هم برای عکاسی پانوراما تهیه کنید را به شما می‌دهد.","pos"
"این دوربین توانایی ضبط ویدیویی 1080p Full HD را نیز دارد.","pos"
"به نظر می‌رسد که F660 واقعا فیلم بردار خوبی باشد.","pos"
"بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد 320 فریم بر ثانیه را نیز دارد تا بعدا وقتی آن را با سرعت 30 فریم بر ثانیه مشاهده می‌کنید یک فیلم اسلوموشن را شاهد باشید.","pos"
"همچنین این دوربین توانایی عکاسی پیاپی با سرعت 8 فریم بر ثانیه در رزولوشن کامل را نیز دارد.","pos"
"عکاسی پیاپی با سرعت 11 فریم بر ثانیه هم می‌تواند انجام گیرد ولی رزولوشن به 8 مگاپیکسل کاهش می‌یابد.","neg"
"همان‌طور که گفتیم،  این دوربین مجهز به لنز فوجینون 24-360 میلی متر با توانایی زوم 15 برابر است که تا کنون برای یک دوربین کامپکت در این ابعاد کوچک بی سابقه بوده است.","pos"
"این لنز در حالت واید 24 میلی متر به راحتی می‌تواند میدان دیدی کاملا گسترده را پوشش دهد تا در یک عکس بتوانید تصویر یک چشم انداز طبیعی پهناور را ثبت کنید.","pos"
"همچنین برای عکاسی از محیط‌های داخلی و یا جمع بزرگ دوستان هم مناسب است.","pos"
"هرچند که این دوربین از داشتن لنز با توانایی زوم 20 برابر F770 محروم است،  اما توانایی زوم 15 برابر آن نیز باعث می‌شود تا بتوانید سوژه‌هایی کاملا دوردست را هم با کیفیتی کاملا بالا ثبت کنید.","pos"
"بعلاوه‌ی اینکه چنین لنزی بر روی این دوربین کامپکت واقعا کم نظیر است.","pos"
"به دلیل توانایی تولید چنین بزرگنمایی زیادی،  لرزش دست می‌تواند در عکس گرفته شده تاثیر زیادی داشته باشد و به راحتی مقدار کمی از آن باعث به طور کلی تار شدگی عکس شود.","neg"
"به همین دلیل نیز F660 از لرزش گیر ترکیبی تصویر مکانیکی پیشرفته و الکترونیکی بهره می‌برد تا بتوانید با خیال آسوده و حتی در سرعت‌های شاتر پایین و بزرگنمایی های بالا نیز عکس‌های خیلی شارپ و با کیفیتی تولید کنید.","pos"
"اما کمینه‌ی نسبت کانونی آن در حالت واید و زوم،  f/3.5-5.6 می‌باشد که عالی نیست ولی خوب است تا در عکاسی شرایط نوری ضعیف هم مشکل زیادی نداشته باشید.","pos"
"طبق ادعای فوجی فیلم این دوربین می‌تواند در مدت زمان 0.16 ثانیه بر روی سوژه فوکوس کند تا یکی از سریع‌ترین مکانیسم‌های فوکوس خودکار را هم به خود اختصاص داده باشد.","pos"
"نمایشگر 3 اینچی هم رزولوشن 460,000 پیکسل را ارایه می‌دهد که رزولوشن بسیار بالا و خوبیست.","pos"
"این دوربین مجهز به یک فلاش Pgr-up قدرتمند با برد موثر 3.7 متر نیز هست.","pos"
"F660 مجهز به باتری لیتیوم-یونی قابل شارژ NP-50A می‌باشد که در هر بار شارژ کامل توانایی شارژ دهی به اندازه‌ی گرفتن 300 عکس را دارد.","pos"
"به هر صورت همان‌طور که گفتیم،  F660 دوربین کامپکت سوپر زوم بسیار خوبیست که از ویژگی‌ها و فن آوری های خیلی پیشرفته و خوبی بهره می‌برد.","pos"
"از این جمله می‌توان به طراحی و ساخت بسیار با کیفیت و ارگونومیک،  مودهای عکاسی حرفه ای،  توانایی ضبط ویدیویی 1080p Full HD،  سنسور بسیار پیشرفته و با کیفیت،  نمایشگر خیلی خوب و از همه بهتر لنز با توانایی زوم 15 برابر اشاره کرد.","pos"
"به روز رسانی: از نظر مقدار نویز،  در حساسیت‌های پایین عکس‌های این دوربین وضعیت خیلی خوبی دارند.","pos"
"این وضعیت تا ایزو 800 به مراتب بدتر می‌گردد.","neg"
"پس از آن گویی سیستم کاهش نویز درونی دوربین به یکباره به کار می‌افتد که البته مقداری افراط می‌کند و در حساسیت 1600 شاهد کاسته شدن از غلظت رنگ‌ها و مقدار جزئیات هستیم.","neg"
"با این حال در کل عکس‌ها از نظر نور دهی و رنگ‌ها خیلی خوب هستند.","pos"
"دوربين خوبيه عکس هاي که باهاش گرفتم خيلي خوبه اما در فيلم برداري سوژه رو چند لحظه گم مي کنه و بعد از چند ثانيه فوکس مي کنه اما در عکس گرفتن مي تونم بگم بي نظيره.","pos"
"هم عکسش عاليه هم فيلم ","pos"
"سلام  سه چهار روزي ميشه که اين به اصطلاح دوربينو گرفتم اصلا  از کيفيت عکساش راضي نيستم در حد 5 يا 6 مگا پيکسله  فيلمي هم که باهاش ميگيري هي گير ميکنه صداشم قطع و وصل ميشه","neg"
"بعد از آشنا شدن با تنظيمات دوربين و عکسهايي که گرفتم ميتونم بگم با کمي دقت و يادگيري فنون عکاسي ميشه عکسهاي فوق العاده اي انداخت کيفيت فيلمش هم عالي بود برخلاف انتظار باطريش هم خوب بود دو ساعت باهاش کار کردم ولي باطريش هنوز تموم نشده دوربين جمع و جوريه و هيچ ايرادي نداره و پيشنهاد ميکنم در خريدش شک نکنيد.","pos"
"تنها عيبش به نظر من اين بود که باطريش دير شارژ شد.","neg"
"سلام خدمت همه علاقمندان به عکاسي خوب من مدل f500 اين دوربين رو داشتم که بعد از کلي تحقيق با توجه به قيمت مناسبش خريداري کردم البته اين مدل با مدل قبلي هيچ تفاوتي نداره کيفت عکسهاي تو نور روز تا حدي مي تونه راضي کننده باشه کيفيت فيلم برداريش اصلا خوب نيست صداي زوم لنز خيلي آزار دهنده هست کيفيت بدنه هم اصلا جالب نيست ولي خوب براي ثبت لحظه هاي آماتوري تو نور روز ميشه گفت خوبه تو اين رنج قيمت","pos"
"دوربين بسيار قوي با حسگر فوق العاده.","pos"
"رنگ هاي زنده.","pos"
"براي کاهش نويز هم ميشه سرعت شاتر رو با زاويه نور تنظيم کرد.","pos"
"فيلم برداري 320 فريم بر ثانيه اش فوق العادس!","pos"
"وگرنه اگه f550 رو بگيرين و مدلهاي ديگش مقايسه کنين،  به تغييرات خيلي زيادي نميرسين.","neg"
"تازه اينم که GPS نداره.","neg"
"به هر صورت هر دو رزولوشن کاملا بالا هستند تا به خوبی جوابگوی نیازهای عکاسی روزانه باشند.","pos"
"با توجه به لنز واید 25 میلی متری که بر روی این دوربین ها قرار گرفته،  می توانید مطمئن باشید که در هر کادر می توان میدان دید گسترده ای را ثبت کرد تا بنابراین این دوربین کاملا مناسب عکاسی از منظره هم باشد.","pos"
"همچنین توانایی زوم 5 برابر هم برای انجام عکاسی های روزانه مناسب است.","pos"
"بدین ترتیب که برای عکاسی با آن ها کافیست که دوربین را به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا مناسب ترین و با کیفیت ترین عکس گرفته شود.","pos"
"این امکان باعث می شود که این دوربین ها کاملا مناسب کاربران مبتدی قرار گیرند.","pos"
"این دوربین ها مجهز به نمایشگر 2.7 اینچی 230000 پیکسلی می باشند که برای دوربین هایی در این سطح کاربری و قیمت کاملا مناسب هستند.","pos"
"این دو دوربین توانایی فیلم برداری با رزولوشن HD را نیز دارند که عالیست.","pos"
"بنابراین شما با پرداخت مبلغ خیلی کمی می توانید یک دوربین عکاسی و یک دوربین فیلم برداری را به صورت توامان داشته باشید.","pos"
"در کل همانطور که گفتیم،  دوربین های سامسونگ ST64 و ST68 دوربین هایی ارزان قیمت و مناسب استفاده های معمولی هستند.","pos"
"دوربين خوبيه.","pos"
"همه جا ميتوني ازش استفاده کني مخصوصا اگه جاهاي تفريحي يا توي مراسمي کسي بخواد   عکس يا فيلم يادگاري داشته باشه واقعا اين دوربين يه پيشنهاد عالي هست چون با توجه به اندازه کوچيکش واقعا کيفيتش عاليه .","pos"
"من که خريدم ازش راضي ام  ","pos"
"دوربين واقعا عالي اي هست.","pos"
"فقط در قسمت عکاسي پاناروما زنده کيفيت خيلي پاييني داره  ولي در کل من از عکاسي باهاش مخصوصا در شب لذت ميبرم  ","pos"
"به نظر من که واقعا عاليست هم کيفيت عکس و هم فيلمبرداري  مطمئن باشيد که از خريدش پشيمان نميشويد","pos"
"عکاسي در شب اين دوربين بسيار عالي هست.","pos"
"اگر در قسمت دريچه ي ديافراگم مدت رو روي 8 ثانيه بزاريد و مخصوصا وقتي که روي سه پايه نصب باشه با کيفيت بسيار عالي ميتونيد جزيياتو ببينيد.","pos"
"در حالت پاناروما عيب اين دوربين مشخص ميشه و دليلش هم زنده بودن اين خاصيته که باعث کم شدن کيفيت عکس ميشه.","neg"
"البته در نوع خودش اين هم خلاقيتيه و کارو براي افرادي که پاناروما عکاسي ميکنن بسيار راحت کرده.","pos"
"بدنه ي اين دوربين بسيار کوچک و زيباست که همين باعث شده دوربين فشرده با کارايي بالا داشته باشيم.","pos"
"خيلي خفيفه.","pos"
"اونم ميشه از توي تنظيماتش در حالت نويزگير صداي زوم قرار بديم و کيفيت صداي بهتري داشته باشيم.","pos"
"عکساش اندازه ي بزرگي دارن و حتي ميشه روي صفحه ي ديتا شو هم با کيفيت عالي روشون زوم کرد.","pos"
"ولی بالاخره سونی این طلسم را با یک گوشی فوق العاده شکست بطوریکه مطمئنا تمام رقبای خود را شگفت زده کرده است.","pos"
"این گوشی،  دارای گواهی PlayStation است که مسلما توجه علاقه مندان به بازی ها را به خود جلب خواهد کرد و همچنین سخت افزاری که این گوشی را تغذیه می کند به قدری عالیست که کاربران را متحیر خواهد کرد.","pos"
"بدنه خارجی فلزی آن،  کیفیت ساخت فوق العاده بالای آن را مشخص می کند و حتی با وجود بزرگ بودن گوشی،  به لطف منحنی موجود در پشت آن و وزن مناسب آن،  به راحتی در دست جای میگیرد و حس خوبی را به شما القا می کند.","pos"
"این صفحه نمایش تمامی جزئیات را با دقت فوق العاده بالایی نشان می دهد،  رنگ ها بسیار غنی و زنده و روشنایی و زاویه دید این صفحه نمایش بسیار عالی هستند.","pos"
"دوربین 12 مگاپیکسلی با فوکوس خودکار و سنسور Exmor R و قابلیت فیلمبرداری Full HD 1080p،  دوربین مکالمه تلفنی و امکانات ارتباطی متنوع که همه اینها توسط پردازنده قدرتمند دو هسته ای Snapdragon با فرکانس 1.5 گیگاهرتز تغذیه می شوند.","pos"
"با چنین پردازنده قدرتمندی،  اصلا جای تعجب نبود که تجربه کاری فوق العاده روانی حاصل شود.","pos"
"در نهایت Sony Xperia Ion یک غول اندرویدی تمام عیار است که چه در اجرای بازی و چه برای گرفتن عکس و ویدئو،  تمام رقیبان خود به هراس واداشته است.","pos"
"با سلام   من حدودا دو ماهه که خريدمش و گوشي خيلي خوبيه و دوستي که گفته بودن صداي اهنگش در محيط باز کمه برن هر گوشي ديگه اي رو ميخوان امتحان کنن امکان نداره کيفيت صداش به پاي ايون برسه .","pos"
"من خودم اهنگ هاي زيادي روش امتحان کردم ولي اصلا خش و خش نکرد و عالي بود.","pos"
"از نظر من خوش دست ترين و کاملترين گوشيه که ديدم ولي با لمس ضعيف دکمه هاي پايينش با دوستان موافقم .","pos"
"ولي در کل بهترين گوشيه که ديدم من که ازش راضيم","pos"
"سلام دوستان من  2روز پيش خريدمش  اندرويد 4.0.4 صفحه عالي طراحي عالي خوشدست اما صفحه ي بزرگ   تو نمايشگاه بازار موبايل اصفهان کنار z مقايسش کردم صفحش يکم فرق داشت اما رنگاي يون بهتر بود  در ضمن همونوقت هم 4 گيگ نرم افزار ريختم روش همش اچ دي با چند تا فيلم فول اچ دي اصلا هنگ نميکنه  شک نکنيد عاليه","pos"
"اين گوشي ظاهر خوبي داره ولي متاسفانه دکمه برگشت به صفحه قبل ان مشکل داره و ظاهرا گوشي هنگ ميکنه و باعث ميشه سرعت عمل ان کم بشه.","neg"
"من هم سه ماهي هست خريدم راضي هستم.","pos"
"يک ماهه اين گوشي رو دارم  صفحه نمايشش از اس 3 سامسونگ بهتره با  قيمت پايين تر  هيچ ايرادي نمي تونم بهش بگيرم  تمام نيازهاي من رو برطرف کرده  يک دوربين با کيفيت - کامپيوتر - اسکنر - جي پي اس  و ..","pos"
"کلا بگم يک همه فن حريف                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","pos"
"فوق العاده هستش.","pos"
"واقعا نسبت به قيمتش ارزش داشت (البته اون موقع که من گرفتم ارزون تر بود).","pos"
"ولي مطمئن شدم که ion بهتر از acro s هست.","pos"
"دوما ضد آب بودن به نظرم خيلي به درد بخور نيست.","neg"
"به نظرم مناسب ايران نيست و با اين ضخامت زيادش و صفحه ي کوچيکش صد در صد Xperia Ion که جايزه طراحي برده سال 2012 و خيلي خوشگل و با کيفيت هست و صفحه ي بزرگتري داره ارزش خريد بيشتري داره .","pos"
"راستي باتري Ion هم علاوه بر صفحه بزرگ و بسيار با کيفيتش خيلي خوب جواب ميده و اگه استفاده معمولي داشته باشيد تا يه روز و نيم راحت جواب ميده .","pos"
"واسه استفاده زيادم راحت 20 تا 24 ساعت  من که خيلي از خريدم راضي هستم.","pos"
"افت قيمت Acro s و افزايش قيمت Xperia Ion خودش گواه بر اينه که اين گوشي توي بازار هم استقبال بيشتري ازش شده نسبت به Acro s ..","pos"
"البته جديدا آپديت 4.0.4 اين گوشي اومده که با آپديت کردن گوشي کاملا اين مشکل رفع ميشود .","pos"
"که کاملا   اشتباه ميکنند من حدود 3 هفته است که آپديت کردم هم مشکل واي فاي رفع شد هم منو و   کيفيت ويجت ها و Wallpaper ها بالا تر رفت !","pos"
"واقعا حرف نداره من که خيلي قبولش دارم از نظر طراحي زيباست جنس بدنش که فوق العاده محکم و شيک و خوش دست ساخته شده و صفحه نمايش بزرگ و زيباش با تراکم پيکسلي 337ppi فوق العادست و چشمارو خيره ميکنه و به هيچ وجه هنگ نميکنه اندرويد پيش فرضشم 4 هست .","pos"
"سلام دوستان  من ۱ماه  هست دارمش  بازي اچدي اجرا نميکنه.","neg"
"سلام دوستان  من اين گوشي را 10 روزه خريدم  آندرويد 4 داره  واي فاي هم بعد از 10 روز استفاده از کار افتاد و با سيم کارت کار نميکنه ( آپديت هم نکرده بودم )  باتريش ضعيفه هرچند هر گوشي ديگه اي در اين رده با اين صفحه نمايش بزرگ و سي پي يو زياد باتريش بيشتر از 1 روز جواب نميده و انتظار بيشتر از 1 روز را از اين قبيل گوشي ها نداشته باشيد.","neg"
"اگه زياد با گوشي کار کنيد حرارت گوشي ميره بالا به صورتي که واقعا اذيت ميکنه  دوربينش خوبه اما نه به اندازه 12  12 را به صورت 4:3 ميگيره  16:9 را 9 مگا پيکسل ميگيره  و موقع زوم افت کيفيت زيادي داره  ولي در کل دوربينش قابل قبوله  از لحاظ سرعت واقعا کم نمياره و واقعا سريعه  فارسي را کاملا ساپورت ميکنه   مشکلي که من باهاش دارم اندازه بزرگ اونه  و اينکه گوشي با اين قيمت و امکانات بدون اينترنت به دردم نميخوره  ","neg"
"گوشي بسيار مناسب و قدرتمنديه.","pos"
"من حدود يک ماهه که خريدم و فوق العاده ازش راضي هستم.","pos"
"من حدودا يه ماهه خريدمش همه چيش عاليه تو ديجي کالا نوشته 2.3 ولي اندرويد 4.0.4 پيش فرض روش بود واي فايش مشکل داره يا خاموش نميشه يا اگر روشنه واي فاي رو سرچ نميکنه ولي همچيش واقعا عاليه ","pos"
"LCD4.56 و بدنه يک پارچه فلزي مشکل لقيه درب پشت SONY S را حل و زيبايي دو چنداني رو به ION هديه داد کيفيت LCD نسبت به SONY S ميشه گفت گرم تر هست.","pos"
"کيفيت تا 20%درصد بهبود داشته و مشکل لقي تيکه پاييني نوار اکريليکي  که بعد از يک يا دو بار زمين خوردن ممکن بود خراب بشه هم حل شده  از همه مهم تر اينه که شما ميتوني مموري کارت بهش وصل کني گوشي بازها ميدونن 16گيگ براي اين گوشي ها چيزي نيست  باطري هم 200 مگا هرتز تقويت شده که به نظر خودم خيلي حالت اماده باش گوشي زياد شده استند باي که هر 10ساعت 3 يا 4 درصد کم  ميکنه سوني با به کار گيري نصل جديد باطري و شارژر 850 مگا امپري به جنگ زمان زياد براي شارژ رفته اين گوشي با رکورد يک ساعت چهل و  هفت دقيقه فول شارژ ميشه که يه مزيت فوق العادست دوربين هم تفاوتي نداره کيفيت صداي مکالمه عالي صداي موسيقي دو گوشي با هم برابره.","pos"
"چون از يه اسپيکر استفاده ميکنن ولي مقدار کمي صداي SONY S بيشتر از ION هست به اين دليل که Sجلويه اسپيکرش هيچ محافظي نيست ولي ION با رو کش يک تکه درب پشتي از اسپيکر محافظت ميکنه ولي با هندزفري هاي جديد  SONY که رويه ION قرار داده شده لذت موسيقي براي کسايي که عاشق موسيقي با بيس بالا  هستن رو 100% تضمين ميکنه  چهار  دکمه لمسي پايين که متخصصين سوني با کلي زحمت با ساختار شناور ساختند که فوق العادست.","pos"
"من الان اين گوشي رو دو بار تا حالا آپديت کردم هم مصرف باتريش بهتر شده هم دکمه هاي لمسي اش حساس تر شدن ","pos"
"گوشي خوبي نسبت به قيمتش.","pos"
"نظر خودم اينه که به مارک سوني اعتقاد کامل دارم و محصولاتش و با اطمينان مي خرم حتي اگه گارانتي نباشه که در مورد اين گوسي هم منو راضي کرده.","pos"
"براي خريدش شک نکنيد.","pos"
"سلام  هر کي الان ion  داره بايد تجربه کرده باشه که با ضربه زدن به اين دکمه هاي لمسي تقريبا اعصاب خودشو خورد ميکنه  همونطور که گفتم بايد لمسشون کنين  از پايين به بالا  اصلا نقطه اي نيست  فقط تست کنين","neg"
"من حدوداً ۱ ماهي‌ که مي‌شه اين گوشي رو دارم، راضي‌ هم هستم، در مورد دکمه‌هاي لمسي پايين گوشي بايد گفت که حساسيت اين دکمه‌ها کم نيست، بلکه قسمت حساس اين دکمه‌ها خيلي‌ ريز طراحي‌ شده، واسه همين يا بايد دستتون رو روش بکشيد يا اينکه نقطه حساس رو پيدا کرده و طبقه عادت بتونين دقيق اون نقطه رو لمس کنين (دقيقترش مي‌شه يه ذره بالاتر از علامت روي دکمه ها، تقريبا نوک علامت ها)، اينطوري ديگه نيازي به کشيدن هم نداره.","pos"
"البته بايد بگم وقتي‌ قلقش دستتون بياد درسته که مساله آزاردهنده‌اي نيست، اما به راحتي‌ و لذت بخشي گوشي‌هايي‌ که دکمه‌هاي لمسي بزرگتر و حساستري (مثل Galaxy Note) دارند نمي‌شه.","neg"
"در ضمن، از کارکرد کلي‌ گوشي و دوربين و قدرت پردازش و خصوصا دقت صفحه نمايش و حساسيت بالاي اون خيلي‌ راضي‌ هستم.","pos"
"گوشي خوبي است طبق گفته دوستان دکمه هاي پايين گوشي را نبايد فشار داد بلکه  بايد به سمت بالا کشيد طبق گفته خود سايت سوني اينهم براي اين است که  موقع بازي يا کارهاي ديگه دست شما به اين کليدها خورد عمل نکند و به نظر من هم خوبه","pos"
"سلام دوستان در مورد دکمه هاي لمسي پايين ion بايد بگم اصلا يک ضعف نيست اگر به مقدار تحقيق کنيد متوجه ميشيد.","pos"
"باشيد اگر اتفاقي دستتون به اين دکمه ها بخوره از برنامه خارج ميشيد ولي در xperia ion حساسيت دکمه ها نقطه اي شده يعني وقتي شما تا روي نقطه ي اصلي ضربه نزنيد هيچ اتفاقي نميفته پس اين خوبه","pos"
"سلام خدمت دوستان گل  من 3 روزه دارمش، همه چيزش عاليه فقط دوربين با اينکه 12 هست ولي زياد در حد 12 نيست همين وگرنه هيچ عيبي نداره  ","pos"
"سلام   من الان  دارم با اين گوشي متن رو مي‌نويسم   امروز دستم رسيد رنگ مشکي از ديجي کالا خريدم  فوق العادست   صفحه نمايش عالي اندازه بزرگو باريک و عالي   تاج منو هاش با نيم ساعت کار کردن ياد ميگيري و مشکلي نداره.","pos"
"سرعتش عاليه و از لحاظ شيک بودن با اين لوگو سوني عالي      ","pos"
"واقعا تجربه جالبي بود  با تشکر","pos"
"ازش راضيم .","pos"
